TimeAll	TimeExperiment	R	Theta
1.267400e+001	8.000016e-002	3.609495e-004	1.178643e+002
1.282200e+001	2.280002e-001	3.635165e-004	1.172923e+002
1.293100e+001	3.370001e-001	3.662776e-004	1.165083e+002
1.304000e+001	4.460001e-001	3.687291e-004	1.155187e+002
1.313400e+001	5.400000e-001	3.704061e-004	1.142317e+002
1.324300e+001	6.490002e-001	3.705015e-004	1.127934e+002
1.333700e+001	7.430000e-001	3.675499e-004	1.108630e+002
1.344600e+001	8.520000e-001	3.608180e-004	1.090157e+002
1.353900e+001	9.450002e-001	3.477788e-004	1.072108e+002
1.363300e+001	1.039000e+000	3.328275e-004	1.063547e+002
1.372700e+001	1.133000e+000	3.172263e-004	1.065068e+002
1.382000e+001	1.226000e+000	3.051034e-004	1.075168e+002
1.391400e+001	1.320000e+000	2.962153e-004	1.091328e+002
1.400700e+001	1.413000e+000	2.914043e-004	1.108169e+002
1.410100e+001	1.507000e+000	2.893280e-004	1.124201e+002
1.421000e+001	1.616000e+000	2.890258e-004	1.138116e+002
1.427700e+001	1.683000e+000	2.900156e-004	1.150910e+002
