TimeAll	TimeExperiment	R	Theta
4.871100e+001	7.999992e-002	9.769740e-005	1.115658e+002
4.885900e+001	2.279999e-001	9.753681e-005	1.114956e+002
4.898400e+001	3.529999e-001	9.737753e-005	1.114159e+002
4.909300e+001	4.619999e-001	9.722207e-005	1.113376e+002
4.918700e+001	5.560000e-001	9.705249e-005	1.112323e+002
4.929600e+001	6.650000e-001	9.692005e-005	1.111516e+002
4.940500e+001	7.739999e-001	9.675138e-005	1.110574e+002
4.949900e+001	8.680000e-001	9.662217e-005	1.109632e+002
4.959200e+001	9.610000e-001	9.643807e-005	1.108608e+002
4.968600e+001	1.055000e+000	9.627386e-005	1.107624e+002
4.977900e+001	1.148000e+000	9.613616e-005	1.106594e+002
4.987300e+001	1.242000e+000	9.596963e-005	1.105478e+002
4.996700e+001	1.336000e+000	9.581327e-005	1.104267e+002
5.007600e+001	1.445000e+000	9.565782e-005	1.103080e+002
5.016900e+001	1.538000e+000	9.547571e-005	1.101551e+002
5.027800e+001	1.647000e+000	9.532779e-005	1.100116e+002
5.038800e+001	1.757000e+000	9.513124e-005	1.098444e+002
5.048100e+001	1.850000e+000	9.491474e-005	1.096577e+002
5.057500e+001	1.944000e+000	9.477382e-005	1.095086e+002
5.066800e+001	2.037000e+000	9.459144e-005	1.093406e+002
5.076200e+001	2.131000e+000	9.444207e-005	1.091447e+002
5.085600e+001	2.225000e+000	9.428097e-005	1.089629e+002
5.096500e+001	2.334000e+000	9.410726e-005	1.087517e+002
5.105800e+001	2.427000e+000	9.393466e-005	1.084937e+002
5.116800e+001	2.537000e+000	9.377272e-005	1.082680e+002
5.126100e+001	2.630000e+000	9.358704e-005	1.079698e+002
5.135500e+001	2.724000e+000	9.348462e-005	1.077184e+002
5.144800e+001	2.817000e+000	9.334926e-005	1.074247e+002
5.155800e+001	2.927000e+000	9.323590e-005	1.071324e+002
5.165100e+001	3.020000e+000	9.315422e-005	1.067572e+002
5.176000e+001	3.129000e+000	9.306552e-005	1.064294e+002
5.187000e+001	3.239000e+000	9.298376e-005	1.060103e+002
5.197900e+001	3.348000e+000	9.298117e-005	1.055868e+002
5.207200e+001	3.441000e+000	9.296773e-005	1.051249e+002
5.216600e+001	3.535000e+000	9.299353e-005	1.047175e+002
5.226000e+001	3.629000e+000	9.307004e-005	1.042991e+002
5.235300e+001	3.722000e+000	9.316912e-005	1.038617e+002
5.246200e+001	3.831000e+000	9.332030e-005	1.033779e+002
5.255600e+001	3.925000e+000	9.358764e-005	1.028453e+002
5.265000e+001	4.019000e+000	9.381241e-005	1.023733e+002
5.274300e+001	4.112000e+000	9.412754e-005	1.019031e+002
5.283700e+001	4.206000e+000	9.454786e-005	1.014229e+002
5.293000e+001	4.299000e+000	9.500781e-005	1.009400e+002
5.304000e+001	4.409000e+000	9.554448e-005	1.004696e+002
5.313300e+001	4.502000e+000	9.627431e-005	9.993671e+001
5.324200e+001	4.611000e+000	9.697866e-005	9.947133e+001
5.335200e+001	4.721000e+000	9.790579e-005	9.899326e+001
5.346100e+001	4.830000e+000	9.898395e-005	9.852534e+001
5.357000e+001	4.939000e+000	1.000794e-004	9.815874e+001
5.367900e+001	5.048000e+000	1.013212e-004	9.777814e+001
5.377300e+001	5.142000e+000	1.026695e-004	9.748919e+001
5.386600e+001	5.235000e+000	1.038803e-004	9.728547e+001
5.396000e+001	5.329000e+000	1.051601e-004	9.715546e+001
5.405400e+001	5.423000e+000	1.064525e-004	9.708862e+001
5.414700e+001	5.516000e+000	1.078523e-004	9.706283e+001
5.425600e+001	5.625000e+000	1.093111e-004	9.711153e+001
5.435000e+001	5.719000e+000	1.108807e-004	9.724094e+001
5.444400e+001	5.813000e+000	1.122685e-004	9.743098e+001
5.453700e+001	5.906000e+000	1.136633e-004	9.768327e+001
5.464600e+001	6.015000e+000	1.150538e-004	9.801304e+001
5.475600e+001	6.125000e+000	1.164635e-004	9.840954e+001
5.486500e+001	6.234000e+000	1.178271e-004	9.889076e+001
5.495800e+001	6.327000e+000	1.190356e-004	9.941309e+001
5.502500e+001	6.394000e+000	1.200385e-004	9.990019e+001
5.512000e+001	6.489000e+000	1.208768e-004	1.004042e+002
