TimeAll	TimeExperiment	R	Theta
5.659000e+000	8.399987e-002	3.628405e-004	1.120184e+002
5.792000e+000	2.170000e-001	3.600848e-004	1.111271e+002
5.901000e+000	3.260000e-001	3.567039e-004	1.103373e+002
6.011000e+000	4.359999e-001	3.513161e-004	1.094618e+002
6.120000e+000	5.449998e-001	3.448465e-004	1.087478e+002
6.213000e+000	6.380000e-001	3.375048e-004	1.082526e+002
6.323000e+000	7.479999e-001	3.304799e-004	1.080328e+002
6.432000e+000	8.569999e-001	3.227741e-004	1.080693e+002
6.525000e+000	9.500000e-001	3.157659e-004	1.083719e+002
6.635000e+000	1.060000e+000	3.100206e-004	1.088587e+002
6.728000e+000	1.153000e+000	3.049636e-004	1.095310e+002
6.794000e+000	1.219000e+000	3.011578e-004	1.102598e+002
