TimeAll	TimeExperiment	R	Theta
6.811100e+001	8.000016e-002	9.196698e-005	1.052958e+002
6.826000e+001	2.290001e-001	9.193261e-005	1.051242e+002
6.836900e+001	3.380001e-001	9.194430e-005	1.049398e+002
6.846200e+001	4.310000e-001	9.192621e-005	1.047887e+002
6.857200e+001	5.410001e-001	9.191796e-005	1.046360e+002
6.868100e+001	6.500001e-001	9.190337e-005	1.044783e+002
6.877400e+001	7.430000e-001	9.192134e-005	1.042929e+002
6.886800e+001	8.370001e-001	9.192355e-005	1.041475e+002
6.897700e+001	9.460001e-001	9.193374e-005	1.040014e+002
6.907100e+001	1.040000e+000	9.196695e-005	1.038238e+002
6.918000e+001	1.149000e+000	9.197688e-005	1.036599e+002
6.928900e+001	1.258000e+000	9.201125e-005	1.034691e+002
6.938300e+001	1.352000e+000	9.205088e-005	1.032876e+002
6.949200e+001	1.461000e+000	9.212510e-005	1.031078e+002
6.958600e+001	1.555000e+000	9.216303e-005	1.029192e+002
6.969500e+001	1.664000e+000	9.221179e-005	1.027518e+002
6.978800e+001	1.757000e+000	9.230645e-005	1.025486e+002
6.988200e+001	1.851000e+000	9.236752e-005	1.023808e+002
6.999100e+001	1.960000e+000	9.244160e-005	1.022111e+002
7.010000e+001	2.069000e+000	9.254539e-005	1.020000e+002
7.019400e+001	2.163000e+000	9.261960e-005	1.017974e+002
7.028800e+001	2.257000e+000	9.273857e-005	1.016303e+002
7.039700e+001	2.366000e+000	9.284398e-005	1.014380e+002
7.049000e+001	2.459000e+000	9.297067e-005	1.012674e+002
7.058400e+001	2.553000e+000	9.310987e-005	1.010715e+002
7.067800e+001	2.647000e+000	9.325539e-005	1.009126e+002
7.077100e+001	2.740000e+000	9.337636e-005	1.007055e+002
7.088000e+001	2.849000e+000	9.353486e-005	1.005505e+002
7.097400e+001	2.943000e+000	9.369769e-005	1.003354e+002
7.106800e+001	3.037000e+000	9.386862e-005	1.001485e+002
7.117700e+001	3.146000e+000	9.406912e-005	9.998122e+001
7.127000e+001	3.239000e+000	9.426805e-005	9.976888e+001
7.138000e+001	3.349000e+000	9.445682e-005	9.958750e+001
7.147300e+001	3.442000e+000	9.467123e-005	9.939152e+001
7.156700e+001	3.536000e+000	9.485546e-005	9.925651e+001
7.167600e+001	3.645000e+000	9.511150e-005	9.907024e+001
7.177000e+001	3.739000e+000	9.536927e-005	9.888625e+001
7.186300e+001	3.832000e+000	9.558180e-005	9.871951e+001
7.195700e+001	3.926000e+000	9.583403e-005	9.854206e+001
7.206600e+001	4.035000e+000	9.607956e-005	9.837833e+001
7.216000e+001	4.129000e+000	9.638922e-005	9.818703e+001
7.225300e+001	4.222000e+000	9.671701e-005	9.800990e+001
7.234700e+001	4.316000e+000	9.699643e-005	9.786100e+001
7.245600e+001	4.425000e+000	9.733492e-005	9.770134e+001
7.255000e+001	4.519000e+000	9.773017e-005	9.751945e+001
7.265900e+001	4.628000e+000	9.806412e-005	9.737746e+001
7.276800e+001	4.737000e+000	9.847582e-005	9.720277e+001
7.286200e+001	4.831000e+000	9.886334e-005	9.705650e+001
7.295500e+001	4.924000e+000	9.923782e-005	9.693800e+001
7.304900e+001	5.018000e+000	9.959759e-005	9.679735e+001
7.315800e+001	5.127000e+000	1.000102e-004	9.666911e+001
7.326700e+001	5.236000e+000	1.005214e-004	9.653666e+001
7.336100e+001	5.330000e+000	1.009707e-004	9.639199e+001
7.345400e+001	5.423000e+000	1.014647e-004	9.629649e+001
7.356400e+001	5.533000e+000	1.019260e-004	9.619343e+001
7.367300e+001	5.642000e+000	1.024806e-004	9.609741e+001
7.378200e+001	5.751000e+000	1.030627e-004	9.601795e+001
7.389100e+001	5.860000e+000	1.036318e-004	9.592773e+001
7.398500e+001	5.954000e+000	1.042290e-004	9.584582e+001
7.407800e+001	6.047000e+000	1.047027e-004	9.579994e+001
7.417200e+001	6.141000e+000	1.052268e-004	9.575369e+001
7.426600e+001	6.235000e+000	1.057185e-004	9.572318e+001
7.435900e+001	6.328000e+000	1.062490e-004	9.569311e+001
7.445300e+001	6.422000e+000	1.067584e-004	9.568450e+001
7.454600e+001	6.515000e+000	1.073439e-004	9.566897e+001
7.464000e+001	6.609000e+000	1.078872e-004	9.567161e+001
7.474900e+001	6.718000e+000	1.084987e-004	9.567217e+001
7.484300e+001	6.812000e+000	1.091186e-004	9.570890e+001
7.495200e+001	6.921000e+000	1.097265e-004	9.574757e+001
7.504600e+001	7.015000e+000	1.103311e-004	9.579076e+001
7.515500e+001	7.124000e+000	1.109026e-004	9.583866e+001
7.526400e+001	7.233000e+000	1.115931e-004	9.590401e+001
7.535800e+001	7.327000e+000	1.121869e-004	9.599069e+001
7.545100e+001	7.420000e+000	1.127437e-004	9.607396e+001
7.556000e+001	7.529000e+000	1.133143e-004	9.617249e+001
7.567000e+001	7.639000e+000	1.139766e-004	9.630275e+001
7.576300e+001	7.732000e+000	1.146093e-004	9.642966e+001
7.587200e+001	7.841000e+000	1.151336e-004	9.655033e+001
7.596600e+001	7.935000e+000	1.157319e-004	9.669466e+001
7.603100e+001	8.000000e+000	1.162426e-004	9.683875e+001
