TimeAll	TimeExperiment	R	Theta
9.120000e+000	7.999992e-002	2.460935e-004	1.081069e+002
9.253000e+000	2.130001e-001	2.486989e-004	1.066118e+002
9.346000e+000	3.060000e-001	2.505959e-004	1.050374e+002
9.455000e+000	4.150000e-001	2.518391e-004	1.029694e+002
9.549000e+000	5.090001e-001	2.515667e-004	1.004384e+002
9.658000e+000	6.180000e-001	2.490696e-004	9.771386e+001
9.752000e+000	7.119999e-001	2.429259e-004	9.455502e+001
9.861000e+000	8.209999e-001	2.332979e-004	9.163041e+001
9.955000e+000	9.150000e-001	2.193863e-004	8.908583e+001
1.004800e+001	1.008000e+000	2.051551e-004	8.772453e+001
1.014200e+001	1.102000e+000	1.911104e-004	8.746403e+001
1.025100e+001	1.211000e+000	1.777768e-004	8.837316e+001
1.036000e+001	1.320000e+000	1.663119e-004	9.053239e+001
1.045400e+001	1.414000e+000	1.584097e-004	9.340355e+001
1.054700e+001	1.507000e+000	1.541641e-004	9.608472e+001
1.061800e+001	1.578000e+000	1.517721e-004	9.878114e+001
