TimeAll	TimeExperiment	R	Theta
3.880400e+001	7.999992e-002	2.360360e-004	1.112157e+002
3.893600e+001	2.119999e-001	2.374502e-004	1.107792e+002
3.904500e+001	3.209999e-001	2.388146e-004	1.103195e+002
3.913900e+001	4.150000e-001	2.404095e-004	1.097344e+002
3.923200e+001	5.079999e-001	2.417564e-004	1.091932e+002
3.934100e+001	6.169999e-001	2.431890e-004	1.085513e+002
3.945100e+001	7.270000e-001	2.447129e-004	1.077407e+002
3.956000e+001	8.360000e-001	2.462032e-004	1.068246e+002
3.965300e+001	9.289999e-001	2.474534e-004	1.058039e+002
3.974700e+001	1.023000e+000	2.483912e-004	1.047917e+002
3.984100e+001	1.117000e+000	2.490189e-004	1.037249e+002
3.995000e+001	1.226000e+000	2.492631e-004	1.024443e+002
4.004300e+001	1.319000e+000	2.488842e-004	1.009835e+002
4.013700e+001	1.413000e+000	2.479012e-004	9.958163e+001
4.023100e+001	1.507000e+000	2.461154e-004	9.805646e+001
4.032400e+001	1.600000e+000	2.433471e-004	9.644599e+001
4.041800e+001	1.694000e+000	2.396466e-004	9.487891e+001
4.051100e+001	1.787000e+000	2.346912e-004	9.329246e+001
4.062100e+001	1.897000e+000	2.286659e-004	9.181010e+001
4.073000e+001	2.006000e+000	2.201768e-004	9.028629e+001
4.082300e+001	2.099000e+000	2.119825e-004	8.927594e+001
4.091700e+001	2.193000e+000	2.040960e-004	8.866357e+001
4.101100e+001	2.287000e+000	1.958596e-004	8.840409e+001
4.112000e+001	2.396000e+000	1.877789e-004	8.854475e+001
4.121300e+001	2.489000e+000	1.797959e-004	8.912500e+001
4.130700e+001	2.583000e+000	1.735307e-004	8.998943e+001
4.141600e+001	2.692000e+000	1.680585e-004	9.112974e+001
4.148500e+001	2.761000e+000	1.628689e-004	9.269343e+001
4.158000e+001	2.856000e+000	1.594186e-004	9.413065e+001
