TimeAll	TimeExperiment	R	Theta
6.244400e+001	7.900000e-002	2.351354e-004	1.110998e+002
6.257600e+001	2.110000e-001	2.360248e-004	1.108152e+002
6.266900e+001	3.039999e-001	2.368494e-004	1.105357e+002
6.277900e+001	4.139998e-001	2.377322e-004	1.102180e+002
6.287200e+001	5.070000e-001	2.386393e-004	1.098649e+002
6.298100e+001	6.159999e-001	2.395136e-004	1.095153e+002
6.307500e+001	7.099998e-001	2.405018e-004	1.090902e+002
6.316900e+001	8.039999e-001	2.413127e-004	1.087018e+002
6.327800e+001	9.129999e-001	2.421597e-004	1.082720e+002
6.338700e+001	1.022000e+000	2.431638e-004	1.076964e+002
6.349600e+001	1.131000e+000	2.439898e-004	1.071583e+002
6.360500e+001	1.240000e+000	2.447878e-004	1.065321e+002
6.371500e+001	1.350000e+000	2.455421e-004	1.058606e+002
6.382400e+001	1.459000e+000	2.461243e-004	1.051500e+002
6.391700e+001	1.552000e+000	2.465882e-004	1.043875e+002
6.401100e+001	1.646000e+000	2.468512e-004	1.036703e+002
6.410500e+001	1.740000e+000	2.469722e-004	1.029264e+002
6.419800e+001	1.833000e+000	2.468844e-004	1.021342e+002
6.430700e+001	1.942000e+000	2.465214e-004	1.012761e+002
6.440100e+001	2.036000e+000	2.458480e-004	1.002499e+002
6.451000e+001	2.145000e+000	2.449327e-004	9.933971e+001
6.460400e+001	2.239000e+000	2.435059e-004	9.827416e+001
6.469700e+001	2.332000e+000	2.418307e-004	9.730994e+001
6.480700e+001	2.442000e+000	2.396755e-004	9.629420e+001
6.490000e+001	2.535000e+000	2.368237e-004	9.517876e+001
6.500900e+001	2.644000e+000	2.338388e-004	9.422767e+001
6.510300e+001	2.738000e+000	2.298647e-004	9.316087e+001
6.519700e+001	2.832000e+000	2.261210e-004	9.232577e+001
6.530600e+001	2.941000e+000	2.218464e-004	9.152599e+001
6.541500e+001	3.050000e+000	2.161278e-004	9.066742e+001
6.552400e+001	3.159000e+000	2.111511e-004	9.009882e+001
6.561800e+001	3.253000e+000	2.054026e-004	8.962842e+001
6.571100e+001	3.346000e+000	2.004293e-004	8.937200e+001
6.580500e+001	3.440000e+000	1.955186e-004	8.926136e+001
6.589900e+001	3.534000e+000	1.908425e-004	8.929946e+001
6.599200e+001	3.627000e+000	1.862112e-004	8.947876e+001
6.610100e+001	3.736000e+000	1.817464e-004	8.979982e+001
6.619500e+001	3.830000e+000	1.771053e-004	9.033308e+001
6.630400e+001	3.939000e+000	1.733263e-004	9.092274e+001
6.639800e+001	4.033000e+000	1.694823e-004	9.172253e+001
6.650700e+001	4.142000e+000	1.665207e-004	9.249954e+001
6.661600e+001	4.251000e+000	1.635616e-004	9.346658e+001
6.671000e+001	4.345000e+000	1.610669e-004	9.447045e+001
6.680300e+001	4.438000e+000	1.592411e-004	9.537623e+001
6.691200e+001	4.547000e+000	1.576869e-004	9.629115e+001
6.700600e+001	4.641000e+000	1.562670e-004	9.732955e+001
6.707300e+001	4.708000e+000	1.552488e-004	9.826097e+001
6.716800e+001	4.803000e+000	1.544870e-004	9.912988e+001
