TimeAll	TimeExperiment	R	Theta
4.210400e+001	7.999992e-002	2.356024e-004	1.112787e+002
4.223600e+001	2.119999e-001	2.369575e-004	1.108589e+002
4.233000e+001	3.060000e-001	2.381576e-004	1.104561e+002
4.242300e+001	3.989999e-001	2.394408e-004	1.100142e+002
4.251700e+001	4.930000e-001	2.407102e-004	1.095068e+002
4.261000e+001	5.860000e-001	2.419710e-004	1.089670e+002
4.270400e+001	6.800001e-001	2.432385e-004	1.083923e+002
4.279800e+001	7.739999e-001	2.444888e-004	1.076988e+002
4.289100e+001	8.670001e-001	2.455972e-004	1.069945e+002
4.298500e+001	9.610000e-001	2.466990e-004	1.061761e+002
4.309400e+001	1.070000e+000	2.476214e-004	1.052855e+002
4.318800e+001	1.164000e+000	2.484027e-004	1.041503e+002
4.328100e+001	1.257000e+000	2.487908e-004	1.030655e+002
4.339000e+001	1.366000e+000	2.487634e-004	1.018229e+002
4.348400e+001	1.460000e+000	2.481228e-004	1.004208e+002
4.357800e+001	1.554000e+000	2.469585e-004	9.909521e+001
4.367100e+001	1.647000e+000	2.450176e-004	9.767047e+001
4.376500e+001	1.741000e+000	2.422770e-004	9.620972e+001
4.387400e+001	1.850000e+000	2.385294e-004	9.470471e+001
4.398300e+001	1.959000e+000	2.330165e-004	9.303329e+001
4.409200e+001	2.068000e+000	2.263443e-004	9.150649e+001
4.418600e+001	2.162000e+000	2.187699e-004	9.023967e+001
4.428000e+001	2.256000e+000	2.117594e-004	8.940176e+001
4.437300e+001	2.349000e+000	2.042722e-004	8.881660e+001
4.448200e+001	2.458000e+000	1.963549e-004	8.854234e+001
4.459100e+001	2.567000e+000	1.882034e-004	8.866158e+001
4.468500e+001	2.661000e+000	1.808345e-004	8.916370e+001
4.479400e+001	2.770000e+000	1.746092e-004	8.993696e+001
4.488800e+001	2.864000e+000	1.688923e-004	9.105141e+001
4.495400e+001	2.930000e+000	1.647439e-004	9.219736e+001
4.504800e+001	3.024000e+000	1.611457e-004	9.349997e+001
