TimeAll	TimeExperiment	R	Theta
6.769500e+001	8.200002e-002	2.366718e-004	1.105309e+002
6.782700e+001	2.140000e-001	2.375081e-004	1.102216e+002
6.795200e+001	3.390000e-001	2.384563e-004	1.098714e+002
6.806100e+001	4.480000e-001	2.392777e-004	1.095116e+002
6.817000e+001	5.569999e-001	2.402084e-004	1.091161e+002
6.826400e+001	6.510000e-001	2.410557e-004	1.087079e+002
6.837300e+001	7.600000e-001	2.417863e-004	1.083279e+002
6.846600e+001	8.529999e-001	2.426254e-004	1.078611e+002
6.857600e+001	9.630001e-001	2.433409e-004	1.074170e+002
6.868500e+001	1.072000e+000	2.440815e-004	1.068804e+002
6.879400e+001	1.181000e+000	2.447864e-004	1.063018e+002
6.888800e+001	1.275000e+000	2.453705e-004	1.057019e+002
6.898100e+001	1.368000e+000	2.458591e-004	1.051279e+002
6.909000e+001	1.477000e+000	2.462396e-004	1.045153e+002
6.918400e+001	1.571000e+000	2.465346e-004	1.037925e+002
6.929300e+001	1.680000e+000	2.466345e-004	1.031123e+002
6.938700e+001	1.774000e+000	2.465601e-004	1.022973e+002
6.949600e+001	1.883000e+000	2.463245e-004	1.015479e+002
6.959000e+001	1.977000e+000	2.457834e-004	1.006623e+002
6.968300e+001	2.070000e+000	2.450611e-004	9.985131e+001
6.979200e+001	2.179000e+000	2.439597e-004	9.892023e+001
6.988600e+001	2.273000e+000	2.425768e-004	9.799931e+001
6.999500e+001	2.382000e+000	2.408958e-004	9.710368e+001
7.010400e+001	2.491000e+000	2.384326e-004	9.599795e+001
7.021400e+001	2.601000e+000	2.357564e-004	9.502706e+001
7.030700e+001	2.694000e+000	2.326517e-004	9.408942e+001
7.040100e+001	2.788000e+000	2.294366e-004	9.325454e+001
7.051000e+001	2.897000e+000	2.260062e-004	9.247535e+001
7.060400e+001	2.991000e+000	2.216941e-004	9.166528e+001
7.071300e+001	3.100000e+000	2.175611e-004	9.102808e+001
7.080600e+001	3.193000e+000	2.126879e-004	9.041711e+001
7.090000e+001	3.287000e+000	2.083425e-004	8.999379e+001
7.100900e+001	3.396000e+000	2.036091e-004	8.966846e+001
7.110300e+001	3.490000e+000	1.986697e-004	8.946071e+001
7.121200e+001	3.599000e+000	1.941880e-004	8.941170e+001
7.132100e+001	3.708000e+000	1.891922e-004	8.949633e+001
7.143000e+001	3.817000e+000	1.845288e-004	8.973512e+001
7.152400e+001	3.911000e+000	1.800840e-004	9.012455e+001
7.161800e+001	4.005000e+000	1.765340e-004	9.056236e+001
7.171100e+001	4.098000e+000	1.732782e-004	9.108211e+001
7.180500e+001	4.192000e+000	1.702732e-004	9.169289e+001
7.187200e+001	4.259000e+000	1.674935e-004	9.239563e+001
