TimeAll	TimeExperiment	R	Theta
2.419450e+002	8.599997e-002	2.359369e-004	9.977495e+001
2.420780e+002	2.189999e-001	2.357794e-004	9.969070e+001
2.421720e+002	3.130000e-001	2.356490e-004	9.961109e+001
2.422810e+002	4.219999e-001	2.355200e-004	9.952921e+001
2.423900e+002	5.309999e-001	2.353540e-004	9.944158e+001
2.424840e+002	6.250000e-001	2.351742e-004	9.935056e+001
2.425770e+002	7.179999e-001	2.350223e-004	9.927260e+001
2.426710e+002	8.120000e-001	2.348737e-004	9.919572e+001
2.427640e+002	9.050000e-001	2.347050e-004	9.910933e+001
2.428740e+002	1.015000e+000	2.345276e-004	9.903503e+001
2.429670e+002	1.108000e+000	2.343606e-004	9.894473e+001
2.430610e+002	1.202000e+000	2.341808e-004	9.886364e+001
2.431540e+002	1.295000e+000	2.340266e-004	9.878941e+001
2.432480e+002	1.389000e+000	2.338614e-004	9.870820e+001
2.433420e+002	1.483000e+000	2.336798e-004	9.863351e+001
2.434350e+002	1.576000e+000	2.335031e-004	9.855572e+001
2.435440e+002	1.685000e+000	2.333152e-004	9.847043e+001
2.436380e+002	1.779000e+000	2.331141e-004	9.838294e+001
2.437320e+002	1.873000e+000	2.329256e-004	9.830859e+001
2.438250e+002	1.966000e+000	2.327694e-004	9.822913e+001
2.439190e+002	2.060000e+000	2.325519e-004	9.815254e+001
2.440280e+002	2.169000e+000	2.323547e-004	9.807632e+001
2.441220e+002	2.263000e+000	2.321501e-004	9.798689e+001
2.442150e+002	2.356000e+000	2.319322e-004	9.790723e+001
2.443240e+002	2.465000e+000	2.317053e-004	9.783010e+001
2.444340e+002	2.575000e+000	2.315384e-004	9.775061e+001
2.445270e+002	2.668000e+000	2.312850e-004	9.765891e+001
2.446360e+002	2.777000e+000	2.310758e-004	9.758567e+001
2.447300e+002	2.871000e+000	2.308300e-004	9.750657e+001
2.448240e+002	2.965000e+000	2.306397e-004	9.742763e+001
2.449330e+002	3.074000e+000	2.304037e-004	9.735447e+001
2.450260e+002	3.167000e+000	2.301512e-004	9.726488e+001
2.451200e+002	3.261000e+000	2.299304e-004	9.719444e+001
2.452130e+002	3.354000e+000	2.297038e-004	9.711584e+001
2.453070e+002	3.448000e+000	2.294889e-004	9.704261e+001
2.454160e+002	3.557000e+000	2.292275e-004	9.696156e+001
2.455250e+002	3.666000e+000	2.289734e-004	9.688288e+001
2.456190e+002	3.760000e+000	2.286939e-004	9.679520e+001
2.457130e+002	3.854000e+000	2.284674e-004	9.672696e+001
2.458060e+002	3.947000e+000	2.282212e-004	9.665687e+001
2.459150e+002	4.056000e+000	2.279768e-004	9.658235e+001
2.460090e+002	4.150000e+000	2.276838e-004	9.649178e+001
2.461030e+002	4.244000e+000	2.274423e-004	9.642573e+001
2.462120e+002	4.353000e+000	2.271758e-004	9.635656e+001
2.463050e+002	4.446000e+000	2.268860e-004	9.626809e+001
2.463990e+002	4.540000e+000	2.266163e-004	9.620222e+001
2.465080e+002	4.649000e+000	2.263297e-004	9.612686e+001
2.466020e+002	4.743000e+000	2.260261e-004	9.604847e+001
2.466950e+002	4.836000e+000	2.257665e-004	9.597402e+001
2.468050e+002	4.946000e+000	2.254767e-004	9.590433e+001
2.469140e+002	5.055000e+000	2.251735e-004	9.582574e+001
2.470230e+002	5.164000e+000	2.248531e-004	9.574796e+001
2.471320e+002	5.273000e+000	2.245128e-004	9.566380e+001
2.472260e+002	5.367000e+000	2.242164e-004	9.559080e+001
2.473190e+002	5.460000e+000	2.239288e-004	9.552750e+001
2.474290e+002	5.570000e+000	2.236244e-004	9.545695e+001
2.475220e+002	5.663000e+000	2.233136e-004	9.538351e+001
2.476160e+002	5.757000e+000	2.229865e-004	9.531728e+001
2.477250e+002	5.866000e+000	2.227333e-004	9.525371e+001
2.478190e+002	5.960000e+000	2.223995e-004	9.518469e+001
2.479120e+002	6.053000e+000	2.220798e-004	9.511741e+001
2.480060e+002	6.147000e+000	2.218206e-004	9.505503e+001
2.480990e+002	6.240000e+000	2.214913e-004	9.499798e+001
2.482090e+002	6.350000e+000	2.211719e-004	9.492703e+001
2.483180e+002	6.459000e+000	2.208440e-004	9.486068e+001
2.484110e+002	6.552000e+000	2.204610e-004	9.479117e+001
2.485210e+002	6.662000e+000	2.201263e-004	9.472843e+001
2.486140e+002	6.755000e+000	2.197912e-004	9.466349e+001
2.487080e+002	6.849000e+000	2.194740e-004	9.460078e+001
2.488010e+002	6.942000e+000	2.191428e-004	9.453867e+001
2.488950e+002	7.036000e+000	2.188099e-004	9.448316e+001
2.489890e+002	7.130000e+000	2.184836e-004	9.442123e+001
2.490820e+002	7.223000e+000	2.181512e-004	9.437051e+001
2.491910e+002	7.332000e+000	2.178176e-004	9.431271e+001
2.493010e+002	7.442000e+000	2.174579e-004	9.424719e+001
2.493940e+002	7.535000e+000	2.170505e-004	9.418397e+001
2.494880e+002	7.629000e+000	2.167346e-004	9.413089e+001
2.495810e+002	7.722000e+000	2.164007e-004	9.408126e+001
2.496750e+002	7.816000e+000	2.160481e-004	9.402567e+001
2.497690e+002	7.910000e+000	2.157266e-004	9.397652e+001
2.498780e+002	8.019000e+000	2.153599e-004	9.391801e+001
2.499710e+002	8.112000e+000	2.149804e-004	9.386632e+001
2.500650e+002	8.206000e+000	2.146597e-004	9.381273e+001
2.501740e+002	8.315000e+000	2.143063e-004	9.376926e+001
2.502680e+002	8.409000e+000	2.139177e-004	9.370889e+001
2.503770e+002	8.518000e+000	2.135607e-004	9.366254e+001
2.504860e+002	8.627000e+000	2.131589e-004	9.360696e+001
2.505800e+002	8.721000e+000	2.127750e-004	9.355682e+001
2.506730e+002	8.814000e+000	2.124159e-004	9.351694e+001
2.507830e+002	8.924000e+000	2.120900e-004	9.347253e+001
2.508920e+002	9.033000e+000	2.116667e-004	9.342298e+001
2.509850e+002	9.126000e+000	2.112730e-004	9.337462e+001
2.510790e+002	9.220000e+000	2.109515e-004	9.333477e+001
2.511720e+002	9.313000e+000	2.105690e-004	9.329650e+001
2.512660e+002	9.407000e+000	2.102400e-004	9.325980e+001
