time,sec	res, Ohm
29.032	0.01336
29.125	0.01335
29.219	0.01335
29.313	0.01335
29.406	0.01335
29.5	0.01334
29.593	0.01334
29.687	0.01334
29.781	0.01334
29.874	0.01334
29.968	0.01334
30.061	0.01333
30.155	0.01333
30.249	0.01333
30.342	0.01332
30.436	0.01333
30.529	0.01333
30.623	0.01332
30.717	0.01332
30.81	0.01332
30.904	0.01332
30.997	0.01332
31.091	0.01331
31.185	0.01331
31.278	0.01331
31.372	0.0133
31.465	0.0133
31.559	0.0133
31.653	0.0133
31.746	0.0133
31.84	0.0133
31.933	0.0133
32.027	0.01329
32.121	0.01329
32.214	0.01329
32.308	0.01329
32.401	0.01328
32.495	0.01328
32.589	0.01328
32.682	0.01328
32.776	0.01328
32.869	0.01328
32.963	0.01327
33.057	0.01327
33.15	0.01327
33.244	0.01327
33.337	0.01327
33.431	0.01327
33.525	0.01326
33.618	0.01326
33.712	0.01326
33.805	0.01326
33.899	0.01326
33.993	0.01325
34.086	0.01325
34.18	0.01325
34.273	0.01325
34.367	0.01325
34.461	0.01325
34.554	0.01325
34.648	0.01324
34.741	0.01324
34.835	0.01324
34.929	0.01324
35.022	0.01324
35.116	0.01324
35.209	0.01323
35.303	0.01323
35.397	0.01323
35.49	0.01323
35.584	0.01322
35.677	0.01322
35.771	0.01322
35.865	0.01322
35.958	0.01322
36.052	0.01322
36.145	0.01322
36.239	0.01322
36.333	0.01321
36.426	0.01321
36.52	0.01321
36.613	0.01321
36.707	0.01321
36.801	0.01321
36.894	0.0132
36.988	0.0132
37.081	0.0132
37.175	0.0132
37.269	0.0132
37.362	0.0132
37.456	0.01319
37.549	0.01319
37.643	0.01319
37.737	0.01319
37.83	0.01319
37.924	0.01319
38.017	0.01318
38.111	0.01318
38.205	0.01318
38.298	0.01318
38.392	0.01318
38.485	0.01318
38.579	0.01318
38.673	0.01318
38.766	0.01318
38.86	0.01317
38.953	0.01317
39.047	0.01317
39.141	0.01317
39.234	0.01317
39.328	0.01316
39.421	0.01316
39.515	0.01316
39.609	0.01316
39.702	0.01316
39.796	0.01316
39.889	0.01316
39.983	0.01316
40.077	0.01316
40.17	0.01315
40.264	0.01315
40.357	0.01315
40.451	0.01315
40.545	0.01315
40.638	0.01315
40.732	0.01315
40.825	0.01314
40.919	0.01314
41.013	0.01314
41.106	0.01314
41.2	0.01314
41.293	0.01314
41.387	0.01314
41.481	0.01314
41.574	0.01314
41.668	0.01313
41.761	0.01313
41.855	0.01313
41.949	0.01313
42.042	0.01313
42.136	0.01313
42.229	0.01313
42.323	0.01313
42.417	0.01312
42.51	0.01312
42.604	0.01312
42.697	0.01313
42.791	0.01312
42.885	0.01312
42.978	0.01312
43.072	0.01312
43.165	0.01312
43.259	0.01312
43.353	0.01312
43.446	0.01312
43.54	0.01312
43.633	0.01312
43.727	0.01312
43.821	0.01312
43.914	0.01312
44.008	0.01311
44.101	0.01311
44.195	0.01311
44.289	0.01311
44.382	0.01311
44.476	0.01311
44.569	0.01311
44.663	0.01311
44.757	0.01311
44.85	0.01311
44.944	0.0131
45.037	0.0131
45.131	0.0131
45.225	0.0131
45.318	0.0131
45.412	0.0131
45.505	0.0131
45.599	0.0131
45.693	0.0131
45.786	0.01309
45.88	0.01309
45.973	0.01309
46.067	0.01309
46.161	0.01309
46.254	0.01309
46.348	0.01309
46.441	0.01309
46.535	0.01309
46.629	0.01309
46.722	0.01309
46.816	0.01309
46.909	0.01309
47.003	0.01309
47.097	0.01308
47.19	0.01308
47.284	0.01308
47.377	0.01308
47.471	0.01308
47.565	0.01308
47.658	0.01308
47.752	0.01308
47.845	0.01308
47.939	0.01307
48.033	0.01307
48.126	0.01307
48.22	0.01307
48.313	0.01307
48.407	0.01307
48.501	0.01307
48.594	0.01307
48.688	0.01307
48.781	0.01307
48.875	0.01307
48.969	0.01307
49.062	0.01306
49.156	0.01306
49.249	0.01306
49.343	0.01306
49.437	0.01306
49.53	0.01306
49.624	0.01306
49.717	0.01306
49.811	0.01306
49.905	0.01306
49.998	0.01306
50.092	0.01306
50.185	0.01306
50.279	0.01305
50.373	0.01305
50.466	0.01305
50.56	0.01305
50.653	0.01305
50.747	0.01305
50.841	0.01305
50.934	0.01305
51.028	0.01305
51.121	0.01305
51.215	0.01305
51.309	0.01305
51.402	0.01305
51.496	0.01305
51.589	0.01304
51.683	0.01304
51.777	0.01304
51.87	0.01304
51.964	0.01304
52.057	0.01304
52.151	0.01304
52.245	0.01304
52.338	0.01304
52.432	0.01304
52.525	0.01304
52.619	0.01304
52.713	0.01304
52.806	0.01304
52.9	0.01304
52.993	0.01304
53.087	0.01304
53.181	0.01304
53.274	0.01303
53.368	0.01303
53.461	0.01303
53.555	0.01304
53.649	0.01303
53.742	0.01303
53.836	0.01303
53.929	0.01303
54.023	0.01303
54.117	0.01303
54.21	0.01303
54.304	0.01303
54.397	0.01303
54.491	0.01303
54.585	0.01303
54.678	0.01303
54.772	0.01303
54.865	0.01302
54.959	0.01302
55.053	0.01302
55.146	0.01302
55.24	0.01302
55.333	0.01302
55.427	0.01302
55.521	0.01302
55.614	0.01302
55.708	0.01302
55.801	0.01302
55.895	0.01302
55.989	0.01302
56.082	0.01302
56.176	0.01302
56.269	0.01302
56.363	0.01301
56.457	0.01302
56.55	0.01302
56.644	0.01301
56.737	0.01302
56.831	0.01302
56.925	0.01301
57.018	0.01301
57.112	0.01301
57.205	0.01301
57.299	0.01301
57.393	0.01301
57.486	0.01301
57.58	0.01301
57.673	0.01301
57.767	0.01301
57.861	0.01301
57.954	0.01301
58.048	0.013
58.141	0.01301
58.235	0.013
58.329	0.013
58.422	0.013
58.516	0.01301
58.609	0.013
58.703	0.013
58.797	0.013
58.89	0.013
58.984	0.013
59.077	0.013
59.171	0.013
59.265	0.013
