time,sec	res, Ohm
0	1E+18
0.094	1E+18
0.187	1E+18
0.281	1E+18
0.374	1E+18
0.468	1E+18
0.562	1E+18
0.655	1E+18
0.749	1E+18
0.842	1E+18
0.936	1E+18
1.03	1E+18
1.123	1E+18
1.217	1E+18
1.31	1E+18
1.404	1E+18
1.498	1E+18
1.591	1E+18
1.685	1E+18
1.778	1E+18
1.872	1E+18
1.966	1E+18
2.059	1E+18
2.153	1E+18
2.246	1E+18
2.356	0.16258
2.449	0.15248
2.543	0.14775
2.636	0.14413
2.73	0.14413
2.824	0.14101
2.917	0.13822
3.011	0.1359
3.104	0.13378
3.198	0.1319
3.292	0.1319
3.385	0.1302
3.479	0.12872
3.572	0.12749
3.666	0.12647
3.76	0.12546
3.853	0.12546
3.947	0.12445
4.04	0.12356
4.134	0.12277
4.228	0.12213
4.321	0.12151
4.415	0.12151
4.508	0.12094
4.602	0.12046
4.696	0.12003
4.789	0.11965
4.883	0.11932
4.976	0.11932
5.07	0.11904
5.164	0.11878
5.257	0.11885
5.351	0.11855
5.444	0.11822
5.538	0.11822
5.632	0.11798
5.725	0.11776
5.819	0.11762
5.912	0.11743
6.006	0.11743
6.1	0.11727
6.193	0.11717
6.287	0.11703
6.38	0.11691
6.474	0.11683
6.568	0.11683
6.661	0.11676
6.755	0.11665
6.848	0.11655
6.942	0.11647
7.036	0.11639
7.129	0.11639
7.223	0.11632
7.316	0.11626
7.41	0.11621
7.504	0.11617
7.597	0.11613
7.691	0.11613
7.784	0.11609
7.878	0.11606
7.972	0.11603
8.065	0.11601
8.159	0.11598
8.252	0.11598
8.346	0.11596
8.44	0.11597
8.533	0.11601
8.627	0.11597
8.72	0.11594
8.814	0.11594
8.908	0.11591
9.001	0.11588
9.095	0.11586
9.188	0.11585
9.282	0.11583
9.376	0.11583
9.469	0.11582
9.563	0.11582
9.656	0.1158
9.75	0.11579
9.844	0.11579
9.937	0.11577
10.031	0.11576
10.124	0.11575
10.218	0.11575
10.312	0.11574
10.405	0.11574
10.499	0.11575
10.592	0.11585
10.686	0.1159
10.78	0.11602
10.873	0.11604
10.967	0.11604
11.06	0.11602
11.154	0.11598
11.248	0.11593
11.341	0.11587
11.435	0.11583
11.528	0.11583
11.622	0.11579
11.716	0.11575
11.809	0.11575
11.903	0.11575
11.996	0.1158
12.09	0.1158
