time,sec	res, Ohm
0	1E+18
0.093	1E+18
0.187	1E+18
0.28	1E+18
0.374	1E+18
0.468	1E+18
0.561	1E+18
0.655	1E+18
0.748	1E+18
0.842	1E+18
0.936	1E+18
1.029	1E+18
1.123	1E+18
1.216	1E+18
1.31	1E+18
1.404	1E+18
1.497	1E+18
1.606	1E+18
1.684	1E+18
1.778	1E+18
1.872	1E+18
1.965	1E+18
2.059	1E+18
2.152	1E+18
2.246	1E+18
2.34	1E+18
2.433	1E+18
2.527	1E+18
2.636	0.09871
2.73	0.03437
2.823	0.03437
2.917	0.02721
3.01	0.02649
3.104	0.02638
3.198	0.02632
3.291	0.02627
3.385	0.02627
3.478	0.02624
3.572	0.02619
3.666	0.02615
3.759	0.02611
3.853	0.02607
3.946	0.02607
4.04	0.02602
4.134	0.02599
4.227	0.02595
4.321	0.02591
4.414	0.02587
4.508	0.02587
4.602	0.02583
4.695	0.0258
4.789	0.02577
4.882	0.02574
4.976	0.02571
5.07	0.02571
5.163	0.02568
5.257	0.02566
5.35	0.02563
5.444	0.02561
5.538	0.02558
5.631	0.02558
5.725	0.02556
5.818	0.02553
5.912	0.0255
6.006	0.02548
6.099	0.02548
6.193	0.02545
6.286	0.02543
6.38	0.0254
6.474	0.02538
6.567	0.02536
6.661	0.02536
6.754	0.02533
6.848	0.02531
6.942	0.02529
7.035	0.02527
7.129	0.02525
7.222	0.02525
7.316	0.02523
7.41	0.02521
7.503	0.02519
7.597	0.02517
7.69	0.02514
7.784	0.02514
7.878	0.02512
7.971	0.0251
8.065	0.02508
8.158	0.02507
8.252	0.02505
8.346	0.02505
8.439	0.02504
8.533	0.02503
8.626	0.025
8.72	0.02499
8.814	0.02497
8.907	0.02497
9.001	0.02495
9.094	0.02494
9.188	0.02492
9.282	0.02491
9.375	0.02489
9.469	0.02489
9.562	0.02487
9.656	0.02486
9.75	0.02484
9.843	0.02483
9.937	0.02483
10.03	0.02481
10.124	0.02479
10.218	0.02478
10.311	0.02476
10.405	0.02474
10.498	0.02474
10.592	0.02473
10.686	0.02471
10.779	0.0247
10.873	0.02468
10.966	0.02467
11.06	0.02467
11.154	0.02465
11.247	0.02464
11.341	0.02463
11.434	0.02461
11.528	0.0246
11.622	0.0246
11.715	0.02459
11.809	0.02458
11.902	0.02457
11.996	0.02455
12.09	0.02454
12.183	0.02454
12.277	0.02454
12.37	0.02453
12.464	0.02451
12.558	0.02451
12.651	0.0245
12.745	0.0245
12.838	0.02449
12.932	0.02448
13.026	0.02447
13.119	0.02446
13.213	0.02446
13.306	0.02446
13.4	0.02445
13.494	0.02444
13.587	0.02443
13.681	0.02442
13.774	0.02442
13.868	0.02442
13.962	0.02441
14.055	0.0244
14.149	0.0244
14.242	0.02439
14.336	0.02439
14.43	0.02438
14.523	0.02437
14.617	0.02437
14.71	0.02436
14.804	0.02436
14.898	0.02436
14.991	0.02435
15.085	0.02435
15.178	0.02434
15.272	0.02434
15.366	0.02433
15.459	0.02433
15.553	0.02432
15.646	0.02432
15.74	0.02431
15.834	0.02431
15.927	0.02431
16.021	0.0243
16.114	0.02429
16.208	0.02429
16.302	0.02428
16.395	0.02428
16.489	0.02428
16.582	0.02427
16.676	0.02427
16.77	0.02426
16.863	0.02426
16.957	0.02425
17.05	0.02425
17.144	0.02425
17.238	0.02424
17.331	0.02424
17.425	0.02423
17.518	0.02423
17.612	0.02423
17.706	0.02423
17.799	0.02422
17.893	0.02422
17.986	0.02422
18.08	0.02421
18.174	0.02421
18.267	0.02421
18.361	0.0242
18.454	0.0242
18.548	0.0242
18.642	0.0242
18.735	0.0242
18.829	0.0242
18.922	0.02419
19.016	0.02419
19.11	0.02418
19.203	0.02418
19.297	0.02418
19.39	0.02418
19.484	0.02417
19.578	0.02417
19.671	0.02417
19.765	0.02417
19.858	0.02417
19.952	0.02416
20.046	0.02416
20.139	0.02416
20.233	0.02416
20.326	0.02416
20.42	0.02415
20.514	0.02415
20.607	0.02415
20.701	0.02415
20.794	0.02414
20.888	0.02414
20.982	0.02414
21.075	0.02414
21.169	0.02413
21.262	0.02413
21.356	0.02413
21.45	0.02413
21.543	0.02413
21.637	0.02413
21.73	0.02413
21.824	0.02412
21.918	0.02412
22.011	0.02412
22.105	0.02412
22.198	0.02412
22.292	0.02412
22.386	0.02412
22.479	0.02411
22.573	0.02411
22.666	0.02411
22.76	0.02411
22.854	0.02411
22.947	0.02411
23.041	0.02411
23.134	0.02411
23.228	0.0241
23.322	0.0241
23.415	0.0241
23.509	0.0241
23.602	0.0241
23.696	0.02409
23.79	0.0241
23.883	0.0241
23.977	0.02409
24.07	0.02409
24.164	0.02409
24.258	0.02409
24.351	0.02409
24.445	0.02409
24.538	0.02409
24.632	0.02409
24.726	0.02409
24.819	0.02409
24.913	0.02409
25.006	0.02408
25.1	0.02408
25.194	0.02408
25.287	0.02408
25.381	0.02408
25.474	0.02408
25.568	0.02408
