time,sec	res, Ohm
0	1E+18
0.094	1E+18
0.188	1E+18
0.281	1E+18
0.375	1E+18
0.468	1E+18
0.562	1E+18
0.656	1E+18
0.749	1E+18
0.843	1E+18
0.936	1E+18
1.03	1E+18
1.124	1E+18
1.217	1E+18
1.311	1E+18
1.404	1E+18
1.498	1E+18
1.592	1E+18
1.685	1E+18
1.794	0.15674
1.888	0.0908
1.982	0.08277
2.075	0.08144
2.169	0.08081
2.262	0.08081
2.356	0.08029
2.45	0.07981
2.543	0.07938
2.637	0.07899
2.73	0.07863
2.824	0.07863
2.918	0.07831
3.011	0.07801
3.105	0.07772
3.198	0.07746
3.292	0.07721
3.386	0.07721
3.479	0.07698
3.573	0.07676
3.666	0.07656
3.76	0.07638
3.854	0.07622
3.947	0.07622
4.041	0.07605
4.134	0.0759
4.228	0.07576
4.322	0.07563
4.415	0.07551
4.509	0.07551
4.602	0.07539
4.696	0.07528
4.79	0.07516
4.883	0.07507
4.977	0.07496
5.07	0.07496
5.164	0.07485
5.258	0.07474
5.351	0.07463
5.445	0.07451
5.538	0.07451
5.632	0.07441
5.726	0.07431
5.819	0.0742
5.913	0.0741
6.006	0.07402
6.1	0.07402
6.194	0.07394
6.287	0.07386
6.381	0.07378
6.474	0.07371
6.568	0.07364
6.662	0.07364
6.755	0.07358
6.849	0.07352
6.942	0.07347
7.036	0.07342
7.13	0.07337
7.223	0.07337
7.317	0.07333
7.41	0.07329
7.504	0.07325
7.598	0.07322
7.691	0.07318
7.785	0.07318
7.878	0.07315
7.972	0.07312
8.066	0.07309
8.159	0.07306
8.253	0.07303
8.346	0.07303
8.44	0.073
8.534	0.07297
8.627	0.07294
8.721	0.07291
8.814	0.07289
8.908	0.07289
9.002	0.07286
9.095	0.07283
9.189	0.07281
9.282	0.07279
9.376	0.07279
9.47	0.07276
9.563	0.07275
9.657	0.07273
9.75	0.07271
9.844	0.07269
9.938	0.07269
10.031	0.07267
10.125	0.07265
10.218	0.07264
10.312	0.07262
10.406	0.07261
10.499	0.07261
10.593	0.07259
10.686	0.07257
10.78	0.07256
10.874	0.07255
10.967	0.07254
11.061	0.07254
11.154	0.07252
11.248	0.07251
11.342	0.07249
11.435	0.07248
11.529	0.07258
