TimeAll	TimeExperiment	R	Theta
1.013720e+002	8.399987e-002	2.930180e-004	1.161379e+002
1.015200e+002	2.319999e-001	2.928845e-004	1.160442e+002
1.016290e+002	3.410001e-001	2.926707e-004	1.159396e+002
1.017390e+002	4.510000e-001	2.925342e-004	1.158511e+002
1.018320e+002	5.439999e-001	2.923670e-004	1.157560e+002
1.019260e+002	6.380000e-001	2.922431e-004	1.156645e+002
1.020350e+002	7.470000e-001	2.920883e-004	1.155806e+002
1.021280e+002	8.399999e-001	2.919701e-004	1.154712e+002
1.022220e+002	9.340000e-001	2.918419e-004	1.153824e+002
1.023160e+002	1.028000e+000	2.916899e-004	1.152948e+002
1.024090e+002	1.121000e+000	2.916199e-004	1.151915e+002
1.025180e+002	1.230000e+000	2.915121e-004	1.150999e+002
1.026120e+002	1.324000e+000	2.913812e-004	1.149840e+002
1.027060e+002	1.418000e+000	2.913018e-004	1.148814e+002
1.027990e+002	1.511000e+000	2.911907e-004	1.147822e+002
1.028930e+002	1.605000e+000	2.911293e-004	1.146797e+002
1.029860e+002	1.698000e+000	2.910823e-004	1.145726e+002
1.030800e+002	1.792000e+000	2.909877e-004	1.144608e+002
1.031890e+002	1.901000e+000	2.909311e-004	1.143509e+002
1.032830e+002	1.995000e+000	2.908810e-004	1.142236e+002
1.033760e+002	2.088000e+000	2.908342e-004	1.141042e+002
1.034700e+002	2.182000e+000	2.908195e-004	1.139852e+002
1.035640e+002	2.276000e+000	2.908072e-004	1.138661e+002
1.036570e+002	2.369000e+000	2.907830e-004	1.137499e+002
1.037510e+002	2.463000e+000	2.908081e-004	1.136253e+002
1.038600e+002	2.572000e+000	2.908406e-004	1.134925e+002
1.039540e+002	2.666000e+000	2.908447e-004	1.133491e+002
1.040630e+002	2.775000e+000	2.909092e-004	1.132144e+002
1.041560e+002	2.868000e+000	2.909497e-004	1.130722e+002
1.042500e+002	2.962000e+000	2.910602e-004	1.129361e+002
1.043440e+002	3.056000e+000	2.911336e-004	1.127985e+002
1.044370e+002	3.149000e+000	2.912198e-004	1.126694e+002
1.045310e+002	3.243000e+000	2.913437e-004	1.125321e+002
1.046240e+002	3.336000e+000	2.915021e-004	1.123864e+002
1.047180e+002	3.430000e+000	2.916311e-004	1.122525e+002
1.048120e+002	3.524000e+000	2.918054e-004	1.121110e+002
1.049050e+002	3.617000e+000	2.920179e-004	1.119638e+002
1.049990e+002	3.711000e+000	2.922286e-004	1.118116e+002
1.050920e+002	3.804000e+000	2.924479e-004	1.116669e+002
1.051860e+002	3.898000e+000	2.927357e-004	1.115130e+002
1.052800e+002	3.992000e+000	2.929821e-004	1.113688e+002
1.053730e+002	4.085000e+000	2.932767e-004	1.112148e+002
1.054820e+002	4.194000e+000	2.936494e-004	1.110586e+002
1.055760e+002	4.288000e+000	2.940258e-004	1.108797e+002
1.056700e+002	4.382000e+000	2.944278e-004	1.107302e+002
1.057630e+002	4.475000e+000	2.948515e-004	1.105693e+002
1.058720e+002	4.584000e+000	2.953205e-004	1.104081e+002
1.059820e+002	4.694000e+000	2.958414e-004	1.102317e+002
1.060750e+002	4.787000e+000	2.963853e-004	1.100521e+002
1.061690e+002	4.881000e+000	2.969428e-004	1.099019e+002
1.062620e+002	4.974000e+000	2.974758e-004	1.097554e+002
1.063560e+002	5.068000e+000	2.980532e-004	1.095925e+002
1.064500e+002	5.162000e+000	2.987109e-004	1.094452e+002
1.065590e+002	5.271000e+000	2.993867e-004	1.092928e+002
1.066520e+002	5.364000e+000	3.001521e-004	1.091241e+002
1.067460e+002	5.458000e+000	3.009139e-004	1.089764e+002
1.068550e+002	5.567000e+000	3.016990e-004	1.088284e+002
1.069640e+002	5.676000e+000	3.026245e-004	1.086644e+002
1.070580e+002	5.770000e+000	3.035693e-004	1.085090e+002
1.071520e+002	5.864000e+000	3.044716e-004	1.083770e+002
1.072610e+002	5.973000e+000	3.054099e-004	1.082461e+002
1.073700e+002	6.082000e+000	3.064757e-004	1.081017e+002
1.074790e+002	6.191000e+000	3.076660e-004	1.079628e+002
1.075880e+002	6.300000e+000	3.088436e-004	1.078271e+002
1.076980e+002	6.410000e+000	3.100422e-004	1.077101e+002
1.078070e+002	6.519000e+000	3.112828e-004	1.075965e+002
1.079000e+002	6.612000e+000	3.125461e-004	1.074913e+002
1.080090e+002	6.721000e+000	3.137074e-004	1.074047e+002
1.081030e+002	6.815000e+000	3.150538e-004	1.073136e+002
1.082120e+002	6.924000e+000	3.163663e-004	1.072412e+002
1.083060e+002	7.018000e+000	3.176637e-004	1.071710e+002
1.084150e+002	7.127000e+000	3.188807e-004	1.071128e+002
1.085240e+002	7.236000e+000	3.203955e-004	1.070562e+002
1.086330e+002	7.345000e+000	3.218182e-004	1.070141e+002
1.087270e+002	7.439000e+000	3.232950e-004	1.069819e+002
1.088360e+002	7.548000e+000	3.246885e-004	1.069585e+002
1.089300e+002	7.642000e+000	3.261025e-004	1.069488e+002
1.090230e+002	7.735000e+000	3.274259e-004	1.069411e+002
1.091330e+002	7.845000e+000	3.287636e-004	1.069484e+002
1.092260e+002	7.938000e+000	3.302921e-004	1.069604e+002
1.093350e+002	8.047000e+000	3.316031e-004	1.069769e+002
1.094450e+002	8.157000e+000	3.331691e-004	1.070093e+002
1.095540e+002	8.266000e+000	3.346644e-004	1.070498e+002
1.096630e+002	8.375000e+000	3.362078e-004	1.071058e+002
1.097720e+002	8.484000e+000	3.377809e-004	1.071697e+002
1.098660e+002	8.578000e+000	3.392104e-004	1.072390e+002
1.099590e+002	8.671000e+000	3.404694e-004	1.073113e+002
1.100690e+002	8.781000e+000	3.416998e-004	1.073814e+002
1.101620e+002	8.874000e+000	3.431630e-004	1.074805e+002
1.102560e+002	8.968000e+000	3.443192e-004	1.075668e+002
1.103490e+002	9.061000e+000	3.455419e-004	1.076618e+002
1.104430e+002	9.155000e+000	3.467275e-004	1.077673e+002
1.105370e+002	9.249000e+000	3.478207e-004	1.078633e+002
1.106460e+002	9.358000e+000	3.490035e-004	1.079830e+002
1.107550e+002	9.467000e+000	3.502301e-004	1.081147e+002
1.108640e+002	9.576000e+000	3.515091e-004	1.082620e+002
1.109300e+002	9.642000e+000	3.525872e-004	1.083995e+002
1.110250e+002	9.737000e+000	3.535863e-004	1.085253e+002
