TimeAll	TimeExperiment	R	Theta
8.595200e+001	7.800007e-002	2.914785e-004	1.155335e+002
8.610100e+001	2.270000e-001	2.913189e-004	1.153980e+002
8.621000e+001	3.360000e-001	2.911053e-004	1.152430e+002
8.630300e+001	4.289999e-001	2.909267e-004	1.151166e+002
8.639700e+001	5.230000e-001	2.907841e-004	1.149879e+002
8.650600e+001	6.320000e-001	2.906604e-004	1.148508e+002
8.660000e+001	7.260001e-001	2.905144e-004	1.147038e+002
8.669300e+001	8.190000e-001	2.904330e-004	1.145599e+002
8.680300e+001	9.289999e-001	2.903164e-004	1.144017e+002
8.689600e+001	1.022000e+000	2.902293e-004	1.142442e+002
8.699000e+001	1.116000e+000	2.901710e-004	1.140935e+002
8.708300e+001	1.209000e+000	2.901199e-004	1.139402e+002
8.719300e+001	1.319000e+000	2.900718e-004	1.137758e+002
8.730200e+001	1.428000e+000	2.900826e-004	1.135913e+002
8.739500e+001	1.521000e+000	2.900981e-004	1.133968e+002
8.748900e+001	1.615000e+000	2.901435e-004	1.132227e+002
8.758300e+001	1.709000e+000	2.902069e-004	1.130470e+002
8.767600e+001	1.802000e+000	2.902785e-004	1.128690e+002
8.777000e+001	1.896000e+000	2.904118e-004	1.126822e+002
8.786300e+001	1.989000e+000	2.905247e-004	1.125019e+002
8.795700e+001	2.083000e+000	2.906814e-004	1.123145e+002
8.805100e+001	2.177000e+000	2.909047e-004	1.121183e+002
8.816000e+001	2.286000e+000	2.911733e-004	1.119259e+002
8.825300e+001	2.379000e+000	2.914622e-004	1.116969e+002
8.836300e+001	2.489000e+000	2.917984e-004	1.114961e+002
8.845600e+001	2.582000e+000	2.921775e-004	1.112655e+002
8.855000e+001	2.676000e+000	2.925683e-004	1.110670e+002
8.865900e+001	2.785000e+000	2.930208e-004	1.108612e+002
8.875300e+001	2.879000e+000	2.935732e-004	1.106171e+002
8.886200e+001	2.988000e+000	2.941245e-004	1.104132e+002
8.895500e+001	3.081000e+000	2.947651e-004	1.101716e+002
8.906500e+001	3.191000e+000	2.954218e-004	1.099630e+002
8.915800e+001	3.284000e+000	2.961687e-004	1.097282e+002
8.925200e+001	3.378000e+000	2.969391e-004	1.095288e+002
8.934500e+001	3.471000e+000	2.977593e-004	1.093146e+002
8.945500e+001	3.581000e+000	2.985909e-004	1.091148e+002
8.956400e+001	3.690000e+000	2.996580e-004	1.088936e+002
8.965700e+001	3.783000e+000	3.007529e-004	1.086719e+002
8.976700e+001	3.893000e+000	3.018221e-004	1.084804e+002
8.986000e+001	3.986000e+000	3.030720e-004	1.082730e+002
8.995400e+001	4.080000e+000	3.042735e-004	1.080989e+002
9.004700e+001	4.173000e+000	3.054806e-004	1.079312e+002
9.015700e+001	4.283000e+000	3.067654e-004	1.077662e+002
9.025000e+001	4.376000e+000	3.083193e-004	1.075933e+002
9.034400e+001	4.470000e+000	3.097196e-004	1.074520e+002
9.043700e+001	4.563000e+000	3.110931e-004	1.073207e+002
9.053100e+001	4.657000e+000	3.126350e-004	1.072005e+002
9.064000e+001	4.766000e+000	3.141911e-004	1.070900e+002
9.073400e+001	4.860000e+000	3.160068e-004	1.069814e+002
9.082700e+001	4.953000e+000	3.177037e-004	1.068909e+002
9.093700e+001	5.063000e+000	3.193584e-004	1.068211e+002
9.103000e+001	5.156000e+000	3.213447e-004	1.067525e+002
9.113900e+001	5.265000e+000	3.231289e-004	1.067105e+002
9.124900e+001	5.375000e+000	3.251973e-004	1.066784e+002
9.134200e+001	5.468000e+000	3.272606e-004	1.066631e+002
9.145100e+001	5.577000e+000	3.290875e-004	1.066708e+002
9.154500e+001	5.671000e+000	3.311796e-004	1.066936e+002
9.165400e+001	5.780000e+000	3.330085e-004	1.067296e+002
9.174800e+001	5.874000e+000	3.350372e-004	1.067863e+002
9.184100e+001	5.967000e+000	3.368412e-004	1.068512e+002
9.193500e+001	6.061000e+000	3.386081e-004	1.069318e+002
9.202900e+001	6.155000e+000	3.403782e-004	1.070275e+002
9.213800e+001	6.264000e+000	3.421139e-004	1.071289e+002
9.223100e+001	6.357000e+000	3.440325e-004	1.072588e+002
9.234100e+001	6.467000e+000	3.458029e-004	1.073944e+002
9.240600e+001	6.532000e+000	3.475524e-004	1.075486e+002
