TimeAll	TimeExperiment	R	Theta
4.129999e-001	8.200002e-002	1.762092e-004	1.152116e+002
5.460000e-001	2.150002e-001	1.762036e-004	1.152089e+002
6.550000e-001	3.240001e-001	1.762333e-004	1.152129e+002
7.639999e-001	4.330001e-001	1.761146e-004	1.151910e+002
8.580000e-001	5.270002e-001	1.758647e-004	1.151668e+002
9.519999e-001	6.210001e-001	1.756709e-004	1.151202e+002
1.045000e+000	7.140000e-001	1.754141e-004	1.150919e+002
1.154000e+000	8.230002e-001	1.751521e-004	1.150563e+002
1.264000e+000	9.330001e-001	1.748927e-004	1.150101e+002
1.357000e+000	1.026000e+000	1.745751e-004	1.149581e+002
1.451000e+000	1.120000e+000	1.743157e-004	1.149129e+002
1.544000e+000	1.213000e+000	1.740326e-004	1.148678e+002
1.638000e+000	1.307000e+000	1.737329e-004	1.148208e+002
1.747000e+000	1.416000e+000	1.734362e-004	1.147629e+002
1.841000e+000	1.510000e+000	1.731031e-004	1.147013e+002
1.934000e+000	1.603000e+000	1.727634e-004	1.146495e+002
2.028000e+000	1.697000e+000	1.724667e-004	1.145881e+002
2.121000e+000	1.790000e+000	1.721233e-004	1.145280e+002
2.215000e+000	1.884000e+000	1.717885e-004	1.144588e+002
2.309000e+000	1.978000e+000	1.714499e-004	1.143851e+002
2.402000e+000	2.071000e+000	1.710983e-004	1.143197e+002
2.511000e+000	2.180000e+000	1.707282e-004	1.142413e+002
2.621000e+000	2.290000e+000	1.703001e-004	1.141426e+002
2.714000e+000	2.383000e+000	1.698245e-004	1.140501e+002
2.808000e+000	2.477000e+000	1.694486e-004	1.139572e+002
2.901000e+000	2.570000e+000	1.690269e-004	1.138492e+002
3.011000e+000	2.680000e+000	1.686279e-004	1.137519e+002
3.120000e+000	2.789000e+000	1.681201e-004	1.136333e+002
3.229000e+000	2.898000e+000	1.675997e-004	1.134835e+002
3.323000e+000	2.992000e+000	1.670502e-004	1.133463e+002
3.432000e+000	3.101000e+000	1.665677e-004	1.132052e+002
3.525000e+000	3.194000e+000	1.660061e-004	1.130407e+002
3.619000e+000	3.288000e+000	1.655108e-004	1.128928e+002
3.728000e+000	3.397000e+000	1.649761e-004	1.127251e+002
3.822000e+000	3.491000e+000	1.643669e-004	1.125199e+002
3.915000e+000	3.584000e+000	1.638337e-004	1.123430e+002
4.009000e+000	3.678000e+000	1.632753e-004	1.121471e+002
4.103000e+000	3.772000e+000	1.626887e-004	1.119359e+002
4.212000e+000	3.881000e+000	1.620914e-004	1.116898e+002
4.305000e+000	3.974000e+000	1.614273e-004	1.114113e+002
4.399000e+000	4.068000e+000	1.608309e-004	1.111382e+002
4.493000e+000	4.162000e+000	1.602413e-004	1.108727e+002
4.586000e+000	4.255000e+000	1.596005e-004	1.105598e+002
4.680000e+000	4.349000e+000	1.589663e-004	1.102405e+002
4.789000e+000	4.458000e+000	1.583157e-004	1.098689e+002
4.883000e+000	4.552000e+000	1.576261e-004	1.094343e+002
4.992000e+000	4.661000e+000	1.569741e-004	1.089999e+002
5.085000e+000	4.754000e+000	1.562892e-004	1.084868e+002
5.195000e+000	4.864000e+000	1.556798e-004	1.079838e+002
5.304000e+000	4.973000e+000	1.550023e-004	1.073392e+002
5.397000e+000	5.066000e+000	1.543739e-004	1.067031e+002
5.491000e+000	5.160000e+000	1.539281e-004	1.060909e+002
5.585000e+000	5.254000e+000	1.534863e-004	1.053971e+002
5.678000e+000	5.347000e+000	1.531539e-004	1.046760e+002
5.772000e+000	5.441000e+000	1.529015e-004	1.039075e+002
5.881000e+000	5.550000e+000	1.527884e-004	1.030572e+002
5.990000e+000	5.659000e+000	1.527850e-004	1.020251e+002
6.084000e+000	5.753000e+000	1.530692e-004	1.009332e+002
6.177000e+000	5.846000e+000	1.534964e-004	9.992044e+001
6.271000e+000	5.940000e+000	1.542370e-004	9.886951e+001
6.365000e+000	6.034000e+000	1.552052e-004	9.779533e+001
6.474000e+000	6.143000e+000	1.565401e-004	9.665907e+001
6.567000e+000	6.236000e+000	1.585006e-004	9.540729e+001
6.661000e+000	6.330000e+000	1.606457e-004	9.428384e+001
6.755000e+000	6.424000e+000	1.632101e-004	9.324731e+001
6.864000e+000	6.533000e+000	1.666596e-004	9.211254e+001
6.957000e+000	6.626000e+000	1.704554e-004	9.116746e+001
7.067000e+000	6.736000e+000	1.746657e-004	9.037215e+001
7.176000e+000	6.845000e+000	1.806151e-004	8.959057e+001
7.269000e+000	6.938000e+000	1.859702e-004	8.916177e+001
7.379000e+000	7.048000e+000	1.915919e-004	8.894148e+001
7.488000e+000	7.157000e+000	1.986846e-004	8.895073e+001
7.581000e+000	7.250000e+000	2.051750e-004	8.923304e+001
7.691000e+000	7.360000e+000	2.110214e-004	8.968831e+001
7.784000e+000	7.453000e+000	2.173902e-004	9.040793e+001
7.878000e+000	7.547000e+000	2.227538e-004	9.121481e+001
7.971000e+000	7.640000e+000	2.277923e-004	9.216054e+001
8.065000e+000	7.734000e+000	2.322034e-004	9.318390e+001
8.158000e+000	7.827000e+000	2.359882e-004	9.425390e+001
8.268000e+000	7.937000e+000	2.396037e-004	9.550277e+001
8.377000e+000	8.046000e+000	2.424928e-004	9.674036e+001
8.442000e+000	8.111000e+000	2.448648e-004	9.803685e+001
8.534000e+000	8.203000e+000	2.463112e-004	9.912906e+001
