TimeAll	TimeExperiment	R	Theta
8.275000e+000	7.999992e-002	2.531175e-004	1.028004e+002
8.368000e+000	1.730001e-001	2.532745e-004	1.017463e+002
8.465000e+000	2.700000e-001	2.530923e-004	1.005771e+002
8.562000e+000	3.670001e-001	2.524247e-004	9.933917e+001
8.659000e+000	4.640000e-001	2.511565e-004	9.800967e+001
8.754000e+000	5.590000e-001	2.492758e-004	9.663895e+001
8.847000e+000	6.520000e-001	2.466993e-004	9.526842e+001
8.943000e+000	7.480001e-001	2.433282e-004	9.385696e+001
9.038000e+000	8.429999e-001	2.391226e-004	9.247952e+001
9.129000e+000	9.340000e-001	2.343305e-004	9.121576e+001
9.225000e+000	1.030000e+000	2.288010e-004	9.001759e+001
9.320000e+000	1.125000e+000	2.225033e-004	8.896236e+001
9.420000e+000	1.225000e+000	2.154859e-004	8.805988e+001
9.513000e+000	1.318000e+000	2.085887e-004	8.743615e+001
9.616000e+000	1.421000e+000	2.010269e-004	8.704181e+001
9.710000e+000	1.515000e+000	1.941969e-004	8.694403e+001
9.803000e+000	1.608000e+000	1.876722e-004	8.710976e+001
9.897000e+000	1.702000e+000	1.815580e-004	8.752655e+001
9.988000e+000	1.793000e+000	1.760697e-004	8.814195e+001
1.008900e+001	1.894000e+000	1.707774e-004	8.902725e+001
1.018400e+001	1.989000e+000	1.663845e-004	9.003465e+001
1.027800e+001	2.083000e+000	1.627154e-004	9.115472e+001
1.037400e+001	2.179000e+000	1.595202e-004	9.237918e+001
